Protein_id,Protein_description,Gene_name,hrp_1,hrp_2,h2o2_1,h2o2_2,t4_1,t4_2,t5_1,t5_2,signal_ratio,fp,tp,tpr,fpr,tpr_fpr,fdr
3376,GH20840p,Dmel\CG11407,5.8515,5.0337,4.5898,5.4867,6.2503,6.398,6.1106,6.0707,1.0769000000000002,0,0,0.0040650406504065045,0.0015432098765432098,0.0025218307738632947,0.0008771929824561404
1983,Transmembrane protein;Dusky,dy,6.722,6.1336,6.4377,6.2878,5.9004,6.1757,7.2081,7.066,1.0744999999999996,0,0,0.0040650406504065045,0.0015432098765432098,0.0025218307738632947,0.0008771929824561404
FBgn0034860,"MIP16064p;Uncharacterized protein, isoform B;FI20812p1;Uncharacterized protein, isoform D",BcDNA:RH38235;CG9812-RB;CG9812-RC;Dmel\CG9812,6.3446,5.74,6.0139,5.7083,5.6057,5.7511,6.727,6.5447,0.9870000000000001,0,0,0.0040650406504065045,0.0015432098765432098,0.0025218307738632947,0.0008771929824561404
FBgn0034808,RE45066p,Dmel\CG9896,6.7976,6.2429,6.0383,6.0313,7.2996,7.355,7.2168,7.4434,0.9739000000000004,0,1,0.006097560975609756,0.0015432098765432098,0.0045543510990665465,0.0008771929824561404
FBgn0028544,HL02234p,Vajk3,7.4571,6.9037,7.1203,6.9471,6.7262,6.7889,7.8769,7.8371,0.9732000000000003,0,0,0.006097560975609756,0.0015432098765432098,0.0045543510990665465,0.0008771929824561404
FBgn0032495,GH15921p,cg16820,6.1089,5.7689,6.057,5.792,5.6448,5.7806,6.742,6.5579,0.9730999999999996,0,1,0.008130081300813009,0.0015432098765432098,0.006586871424269799,0.0008771929824561404
FBgn0032285,GH24939p (Fragment);CG17108,CG17108;gh23489,6.7587,6.4782,6.5288,6.3932,6.1308,6.2224,7.43,6.7817,0.9517999999999995,0,0,0.008130081300813009,0.0015432098765432098,0.006586871424269799,0.0008771929824561404
3534,Miniature,m,5.826,5.2501,5.6372,5.418,5.0953,5.2264,6.1985,6.0976,0.9484000000000004,0,0,0.008130081300813009,0.0015432098765432098,0.006586871424269799,0.0008771929824561404
FBgn0038017,LD12305p,Dmel\CG4115,7.094,6.408,6.786,6.4918,6.5152,6.5219,7.356,7.3965,0.9479999999999995,0,1,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
3666,Armadillo repeat-containing protein 6 homolog,CG5721,6.1954,4.3941,5.3416,5.3865,5.7594,5.8665,5.3349,5.2939,0.9408000000000003,0,0,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
FBgn0035187,Tryptophan 5-monooxygenase,Trh,6.8501,6.3395,6.3498,6.7776,7.1198,7.1318,7.2643,6.8728,0.9248000000000003,0,0,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
FBgn0036593,"Uncharacterized protein, isoform A",Dmel\CG13048,7.1144,6.376,6.6557,6.4556,6.3946,6.3611,7.3006,7.4413,0.9245999999999999,0,0,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
3570,"Staufen, isoform C;Maternal effect protein staufen;Maternal effect protein staufen, Isoform B",stau,5.6599,4.6893,4.7603,5.6529,6.2062,6.2174,5.5191,5.8249,0.8297999999999996,0,0,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
3289,IP14311p,Dmel\CG12964,6.1385,5.5272,5.8145,5.6008,5.1233,5.3564,6.3516,6.426,0.8244000000000007,0,0,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
FBgn0261710,"No circadian temperature entrainment, isoform D;LP18708p",nocte,6.4022,4.973,5.7399,5.7565,5.8705,5.9756,5.7908,5.7763,0.8178000000000001,0,0,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
3604,Fatty acyl-CoA reductase;Fatty acyl-CoA reductase;Fatty acyl-CoA reductase;Fatty acyl-CoA reductase;Fatty acyl-CoA reductase,CG18680;CG2858;CG30427;CG30427-RC;Dmel\CG30427,5.6594,4.9451,4.6902,5.6085,6.3241,6.3044,5.7367,4.9781,0.7915999999999999,0,0,0.01016260162601626,0.0015432098765432098,0.00861939174947305,0.0008771929824561404
FBgn0261822,"Basigin, isoform G",Bsg,8.0618,7.1192,7.1544,7.0136,8.0973,8.12,7.9017,7.8876,0.7824999999999998,0,1,0.012195121951219513,0.0015432098765432098,0.010651912074676303,0.0008771929824561404
FBgn0038381,Poly(U)-specific endoribonuclease,CG31292-RA;EndoU,6.4212,5.74,5.6088,6.2421,6.6742,6.621,6.521,6.3745,0.7809999999999997,0,1,0.014227642276422764,0.0015432098765432098,0.012684432399879554,0.0008771929824561404
FBgn0032538,RH04334p,Vajk2,7.6426,7.0876,7.3224,7.1152,6.3991,6.4978,7.8472,7.8211,0.7595999999999998,0,0,0.014227642276422764,0.0015432098765432098,0.012684432399879554,0.0008771929824561404
3663,SD11922p,Spn55B,5.3489,5.051,5.3941,5.3628,5.3643,5.3457,5.8099,5.9276,0.7588999999999997,0,0,0.014227642276422764,0.0015432098765432098,0.012684432399879554,0.0008771929824561404
2737,RE26705p;Curly Su,cysu,6.2682,5.9554,5.9357,5.9295,5.776,5.7743,6.6853,6.6408,0.7298999999999998,0,0,0.014227642276422764,0.0015432098765432098,0.012684432399879554,0.0008771929824561404
FBgn0000299,RE33133p;Collagen alpha-1(IV) chain,Cg25C-RC;Col4a1,8.1517,7.8857,7.6392,7.4556,7.7526,7.8104,8.604,8.6487,0.7182999999999993,0,1,0.016260162601626018,0.0015432098765432098,0.014716952725082808,0.0008771929824561404
FBgn0053196,"Dumpy, isoform J;Dumpy, isoform I;Dumpy, isoform Q;Dumpy, isoform AA;Dumpy, isoform R;Dumpy, isoform W;Dumpy, isoform O;Dumpy, isoform T;Dumpy, isoform Y;Dumpy, isoform S;Dumpy, isoform X;Dumpy, isoform P;Dumpy, isoform U;Dumpy, isoform Z",dpy,6.4826,6.1018,6.23,6.0999,5.9249,5.9574,6.8197,7.0264,0.7179000000000002,0,1,0.018292682926829267,0.0015432098765432098,0.016749473050286057,0.0008771929824561404
3338,Exosome complex component RRP40,Rrp40,5.9267,5.4214,5.7803,5.4999,5.7533,5.77,6.1248,5.731,0.7033999999999994,0,0,0.018292682926829267,0.0015432098765432098,0.016749473050286057,0.0008771929824561404
FBgn0038819,RH04437p;Cuticular protein 92F,Cpr92F,6.6937,6.1638,6.1337,6.1111,6.0898,6.1212,6.8653,6.7161,0.7015000000000002,0,1,0.02032520325203252,0.0015432098765432098,0.01878199337548931,0.0008771929824561404
2004,"Mitochondrial ribosomal protein L21, isoform A",mRpL21,6.4272,6.2438,6.4203,6.3949,6.2364,6.2522,6.926,6.9543,0.6821999999999999,0,0,0.02032520325203252,0.0015432098765432098,0.01878199337548931,0.0008771929824561404
358,FI19456p1;Band 7 protein CG42540,CG13719;CG14192;CG32245;CG42540;CG42540-RD;CG7468;CG7633;Dmel\CG14644;NEST:bs06h05,8.4104,7.5224,6.3805,7.7279,7.7894,7.7673,8.203,7.5291,0.6805999999999992,0,0,0.02032520325203252,0.0015432098765432098,0.01878199337548931,0.0008771929824561404
FBgn0284408,SD04592p,trol,5.9443,5.6692,5.8843,5.3309,5.7429,5.6292,6.3472,6.5026,0.6779999999999999,0,1,0.022357723577235773,0.0015432098765432098,0.020814513700692563,0.0008771929824561404
FBgn0028938,"Vajk1, isoform B;RH73259p",Vajk1,6.4964,6.141,6.3166,6.0946,6.1167,6.0756,6.8145,6.9012,0.6734999999999998,0,0,0.022357723577235773,0.0015432098765432098,0.020814513700692563,0.0008771929824561404
FBgn0026373,GH07456p,Rpb3,6.4149,5.6595,5.3742,6.2573,7.0074,7.1528,6.3316,6.3833,0.6720999999999995,1,0,0.022357723577235773,0.0030864197530864196,0.019271303824149353,0.0017543859649122807
FBgn0034261,"FI02012p;Hermansky-Pudlak syndrome 4, isoform A;RE07883p",HPS4,6.2848,5.7144,5.6907,6.2175,6.7814,6.8042,6.3857,6.3399,0.6712999999999996,0,0,0.022357723577235773,0.0030864197530864196,0.019271303824149353,0.0017543859649122807
FBgn0032797,"RE03726p;Hig-anchoring scaffold protein, isoform G;Hig-anchoring scaffold protein, isoform A",CG10186;CG10186-RA;Hasp,8.0048,7.433,7.5305,7.2272,8.0667,8.1326,8.1012,8.1046,0.6682000000000006,0,1,0.024390243902439025,0.0030864197530864196,0.021303824149352606,0.0017543859649122807
1169,"Peroxidase C1A, fragment (113-338)",PRXC1A,6.8709,6.4771,6.5769,6.5273,7.3457,7.3775,7.1396,7.2003,0.6624999999999996,0,0,0.024390243902439025,0.0030864197530864196,0.021303824149352606,0.0017543859649122807
FBgn0025615,CG3024 (Fragment);CG3024 (Fragment);CG3024 (Fragment);CG3024 (Fragment);CG3024 (Fragment);CG3024 (Fragment);Torsin-like protein,CG3024;Torsin,6.346,5.7278,5.6573,6.1676,6.6162,6.6715,6.3903,6.3024,0.6624999999999996,0,0,0.024390243902439025,0.0030864197530864196,0.021303824149352606,0.0017543859649122807
3752,"FI02066p;RE60627p;Apoptotic signal-regulating kinase 1, isoform B;DASK1;Apoptotic signal-regulating kinase 1, isoform C",;Ask1;Pk92B-RC,5.5761,5.0985,5.379,5.1473,4.999,4.9007,5.7538,5.4582,0.6553000000000004,0,0,0.024390243902439025,0.0030864197530864196,0.021303824149352606,0.0017543859649122807
FBgn0284408,"Terribly reduced optic lobes, isoform AH;Terribly reduced optic lobes, isoform AF;Terribly reduced optic lobes, isoform AR;Terribly reduced optic lobes, isoform AU;Terribly reduced optic lobes, isoform AQ;Terribly reduced optic lobes, isoform AT",trol;trol-RE,8.2634,7.9346,7.9837,7.8722,7.9937,8.0318,8.5819,8.6212,0.6472999999999995,0,1,0.026422764227642278,0.0030864197530864196,0.02333634447455586,0.0017543859649122807
3661,RE57134p,Dmel\CG14015,5.896,5.2299,5.3709,5.3375,5.11,5.1019,5.8719,5.7466,0.6420000000000003,0,0,0.026422764227642278,0.0030864197530864196,0.02333634447455586,0.0017543859649122807
FBgn0034709,RE01730p;GM06507p,Swim,7.3708,7.4717,6.394,7.1971,7.5574,7.464,8.1135,8.0313,0.6417999999999999,0,1,0.028455284552845527,0.0030864197530864196,0.025368864799759108,0.0017543859649122807
FBgn0261854,Protein kinase C;Protein kinase C,aPKC;CG30475-RA,7.5537,6.9843,7.8754,7.578,7.6076,7.6576,7.619,7.6963,0.6346999999999996,0,0,0.028455284552845527,0.0030864197530864196,0.025368864799759108,0.0017543859649122807
3083,Ccp84Ae,Ccp84Ae,6.0397,5.7058,5.8401,5.6861,5.7743,5.6954,6.3389,6.3579,0.6330999999999998,0,0,0.028455284552845527,0.0030864197530864196,0.025368864799759108,0.0017543859649122807
FBgn0015776,FI04125p;Sodium/potassium-transporting ATPase subunit beta-1,nrv1,6.6086,6.0185,6.0754,6.0242,6.2201,6.1343,6.6362,6.7774,0.6176999999999992,0,1,0.03048780487804878,0.0030864197530864196,0.02740138512496236,0.0017543859649122807
FBgn0039647,"Julius seizure, isoform D;GH11945p",jus,7.4426,7.0942,7.2625,7.1242,7.5877,7.6634,7.7036,7.8308,0.6093999999999999,0,1,0.032520325203252036,0.0030864197530864196,0.029433905450165616,0.0017543859649122807
FBgn0085451,"Hat-trick, isoform D;Hat-trick, isoform C",htk,6.4902,5.8577,6.4482,6.2696,6.3083,6.3345,6.4621,6.2741,0.6044,1,0,0.032520325203252036,0.004629629629629629,0.027890695573622407,0.002631578947368421
564,Trypsin-1,PRSS1,7.8602,7.1648,7.5748,7.3509,6.8183,6.7837,7.7629,7.9528,0.5981000000000005,0,0,0.032520325203252036,0.004629629629629629,0.027890695573622407,0.002631578947368421
FBgn0283471,"GH04081p;Troponin I;Troponin I, Isoform 9",wupA;wupA-RB,5.6513,5.3045,5.5781,5.4341,5.4321,5.4885,5.8991,5.6953,0.5945999999999998,0,0,0.032520325203252036,0.004629629629629629,0.027890695573622407,0.002631578947368421
FBgn0028689,"Regulatory particle non-ATPase 6, isoform C;26S proteasome non-ATPase regulatory subunit 11;26S proteasome non-ATPase regulatory subunit 11, Isoform A",Rpn6,6.6529,6.082,6.0284,6.3665,6.8309,6.7563,6.6742,6.5503,0.5922000000000001,0,0,0.032520325203252036,0.004629629629629629,0.027890695573622407,0.002631578947368421
FBgn0261674,"RT10135p (Fragment);LD45603p;Uncharacterized protein, isoform D",CG17667-RB;EP(3)3622;EP3622,7.4538,7.1229,6.0134,6.8212,8.1297,8.1415,7.7111,7.785,0.5882000000000005,0,1,0.034552845528455285,0.004629629629629629,0.029923215898825656,0.002631578947368421
FBgn0287234,HL04814p,slf,7.2444,6.7145,6.7963,6.5245,6.6259,6.5186,7.2954,7.3389,0.5808999999999997,0,0,0.034552845528455285,0.004629629629629629,0.029923215898825656,0.002631578947368421
FBgn0263593,"Phosphatidate phosphatase;Lipin, isoform G;Phosphatidate phosphatase;Lipin, isoform E;Lipin, isoform L;Phosphatidate phosphatase;Lipin isoform J;Phosphatidate phosphatase",CG8709;CG8709-RH;Lpin,7.1074,6.4111,6.5689,7.0317,6.9838,7.0929,6.9903,6.9297,0.5792000000000002,1,0,0.034552845528455285,0.006172839506172839,0.028380006022282446,0.0035087719298245615
FBgn0004575,"Synapsin, isoform D",Syn,7.3334,7.1751,7.4985,7.823,8.0161,8.0287,7.751,7.7209,0.5759000000000007,0,0,0.034552845528455285,0.006172839506172839,0.028380006022282446,0.0035087719298245615
FBgn0050101,LD27203p,Vajk4,6.8583,6.4056,6.5517,6.2802,6.3995,6.2933,6.9805,7.1139,0.5749000000000004,0,0,0.034552845528455285,0.006172839506172839,0.028380006022282446,0.0035087719298245615
3770,Epidermal growth factor receptor;Isoform Type II of Epidermal growth factor receptor;Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Epidermal growth factor receptor (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Epidermal growth factor receptor (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Epidermal growth factor receptor (Fragment);Receptor protein-tyrosine kinase (Fragment);Receptor protein-tyrosine kinase,Egfr;Egfr-RB,5.4328,5.2891,4.3012,5.2635,5.0699,5.0156,5.856,5.7535,0.5668999999999995,0,0,0.034552845528455285,0.006172839506172839,0.028380006022282446,0.0035087719298245615
FBgn0284408,"Terribly reduced optic lobes, isoform BC;Terribly reduced optic lobes, isoform AI",trol;trol-RE,8.3324,7.902,7.9707,7.8441,8.1551,8.0904,8.4685,8.6212,0.5665000000000004,0,1,0.036585365853658534,0.006172839506172839,0.030412526347485695,0.0035087719298245615
FBgn0285925,"Fasciclin 1, isoform C",Fas1,6.8867,6.6773,6.8877,6.7828,7.2991,7.233,7.24,7.1946,0.5627000000000004,0,1,0.03861788617886179,0.006172839506172839,0.03244504667268895,0.0035087719298245615
FBgn0034310,Nuclear pore complex protein Nup75;Nuclear pore complex protein Nup75;Nuclear pore complex protein Nup75;Nuclear pore complex protein Nup75;Nuclear pore complex protein Nup75;Nuclear pore complex protein Nup75;Nuclear pore complex protein Nup75;Nuclear pore complex protein Nup75 (Fragment),Nup75;Nup75-RA,6.2081,5.6601,6.4717,6.1699,6.2734,6.3989,6.2075,6.3001,0.5473999999999997,0,0,0.03861788617886179,0.006172839506172839,0.03244504667268895,0.0035087719298245615
3811,FI07206p,PNKP,5.0814,4.4638,4.2547,5.116,5.9447,6.0059,5.0034,4.8864,0.5396000000000001,0,0,0.03861788617886179,0.006172839506172839,0.03244504667268895,0.0035087719298245615
FBgn0061200,"Nucleoporin 153kD, isoform D;Nuclear pore complex protein Nup153",Nup153,6.3216,5.9189,5.7862,6.3287,6.955,7.0004,6.4581,6.4962,0.5392000000000001,1,0,0.03861788617886179,0.007716049382716049,0.03090183679614574,0.0043859649122807015
3322,Phosphatidylinositol-glycan biosynthesis class X protein;Phosphatidylinositol-glycan biosynthesis class X protein;Phosphatidylinositol-glycan biosynthesis class X protein,CG30381-RB;PIG-X,5.832,5.4218,5.7192,5.6777,5.6587,5.5902,5.9589,6.2717,0.5370999999999997,0,0,0.03861788617886179,0.007716049382716049,0.03090183679614574,0.0043859649122807015
FBgn0011259,"Semaphorin 1a, isoform G;Semaphorin 1a, isoform D;Semaphorin-1A",Sema-1a-RA;Sema1a,6.8503,6.3756,6.3756,6.5954,7.0022,7.0365,6.9103,6.8339,0.5347,0,1,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
3271,"RH14432p (Fragment);IP06940p;IP03612p (Fragment);Defective proboscis extension response 3, isoform B",CG15379;dpr3;dpr3-RA,5.9521,5.5909,5.544,5.6414,5.7847,5.89,6.117,5.9206,0.5260999999999996,0,0,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
3269,RE55542p,yellow-e,5.9349,5.5607,5.8388,5.618,5.6587,5.6529,6.0867,6.1099,0.5260000000000007,0,0,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
2968,"Tudor, isoform B;Maternal protein tudor",tud,5.9167,5.7497,5.9891,5.9858,6.046,5.948,6.2732,6.018,0.5235000000000003,0,0,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
3296,LP02252p,tfc,6.1895,5.5933,5.8463,5.7764,5.2295,5.3214,6.1152,6.2156,0.5218999999999996,0,0,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
8,Fasciclin-1,Fas1,9.0076,8.7838,8.8958,8.9571,9.3145,9.2934,9.3042,9.2487,0.5204000000000004,0,0,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
3073,Albumin,ALB,6.234,5.7969,5.9847,6.0124,5.5075,5.5362,6.315,6.1038,0.5181000000000004,0,0,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
1357,"Tropomyosin 1, isoform Q;Tropomyosin 1, isoform R;MIP08601p",Tm1;Tm1-RA;TPM2,7.1196,6.1301,6.9918,6.8828,7.0165,7.0075,6.6388,6.8374,0.5087000000000002,0,0,0.04065040650406504,0.007716049382716049,0.03293435712134899,0.0043859649122807015
FBgn0262467,AT19154p,Scox,6.4666,5.8511,6.0982,6.0632,5.8864,5.8492,6.3563,6.4281,0.5052000000000003,1,0,0.04065040650406504,0.009259259259259259,0.03139114724480578,0.005263157894736842
FBgn0013342,"RH40025p;Neuronal synaptobrevin, isoform K;Neuronal synaptobrevin, isoform J;GH19566p;GH04664p;Neuronal synaptobrevin, isoform E",n-syb-RD;nSyb,7.842,7.1714,6.5078,6.5966,7.9928,8.0981,7.6742,8.41,0.5027999999999997,0,1,0.042682926829268296,0.009259259259259259,0.03342366757000904,0.005263157894736842
FBgn0260745,"MIP15217p;RH69422p;AT15809p (Fragment);AT25649p;Midline fasciclin;FI19380p1;Midline fasciclin, isoform F;Midline fasciclin, isoform E;Midline fasciclin, isoform H;GH11519p;Midline fasciclin, isoform C",mfas;mfas-RG;mfas-RJ;mfas-RK;mfas-RO,7.4859,6.9887,7.1498,6.979,7.3066,7.3698,7.491,7.4945,0.5023,0,1,0.044715447154471545,0.009259259259259259,0.035456187895212286,0.005263157894736842
FBgn0087005,RH04101p (Fragment);MORN repeat-containing protein 4 homolog,retinophilin-RB;rtp,6.7802,6.9782,7.029,7.0758,7.2876,7.2229,7.4741,7.4788,0.4958999999999998,0,0,0.044715447154471545,0.009259259259259259,0.035456187895212286,0.005263157894736842
