#,CMT,GeneID,Name,#SEQ,ave_SP,SP,SP200,SP_PHO,TM_PHO,ave_GPI,XC,Others,XC_HH,Others_HH,GO_CC
14,CMT_S,FBgn0011592,fra,28,0.917,0.929,0.964,0.857,1.000,0.000,"Ig[I-set:1, Ig_2:0.893]; fn3[fn3:1]",Neogenin_C:1,Ig[C1-set],N/A,GO:0005886:plasma membrane:ISS; GO:0030425:dendrite:IDA; GO:0043025:neuronal cell body:IDA; GO:0030424:axon:IDA; GO:0016021:integral component of membrane:IEA; GO:0005886:plasma membrane:IDA; GO:0098595:perivitelline space:IDA;
15,CMT_S,FBgn0015399,kek1,12,0.889,0.833,0.917,0.917,1.000,0.000,"Ig[I-set:1]; LRR[LRR_8:1, LRR_4:1, LRR_5:1]",N/A,LRRNT,N/A,GO:0005887:integral component of plasma membrane:ISM; GO:0016021:integral component of membrane:TAS; GO:0005887:integral component of plasma membrane:ISM;
16,CMT_S,FBgn0015400,kek2,12,0.833,0.833,0.833,0.833,1.750,0.000,"Ig[I-set:1]; LRR[LRR_8:1, LRR_5:1]; LRRCT:0.417",N/A,"Ig[I-set, ig]; LRRNT",N/A,GO:0005887:integral component of plasma membrane:ISM; GO:0005887:integral component of plasma membrane:ISM;
17,CMT_S,FBgn0016061,side,37,0.432,0.216,0.838,0.243,1.216,0.000,"Ig[C2-set_2:1, V-set:1, Ig_3:0.946, Ig_2:1]; fn3[Pur_ac_phosph_N:0.027]",N/A,"fn3[fn3, fn3_4, fn3_2, Tissue_fac, DUF4998]",EphA2_TM,N/A
18,CMT_S,FBgn0017590,klg,12,0.278,0.083,0.500,0.250,1.167,0.083,"Ig[I-set:1, Ig_2:0.917]; fn3[fn3:1]",N/A,N/A,N/A,GO:0019897:extrinsic component of plasma membrane:ISS;
19,CMT_SM,FBgn0024189,sns,27,0.296,0.111,0.704,0.074,1.889,0.000,"Ig[C2-set_2:1, I-set:1, Ig_2:1]; fn3[fn3:0.963]",N/A,N/A,N/A,GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:IDA; GO:0005917:nephrocyte diaphragm:IDA; GO:0005917:nephrocyte diaphragm:IDA;
20,CMT_G,FBgn0025878,wrapper,12,1.000,1.000,1.000,1.000,1.000,0.917,"Ig[V-set:0.75, I-set:1, Ig_2:0.75, ig:0.25]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005886:plasma membrane:IDA;
21,CMT_S,FBgn0028369,kirre,13,0.897,0.846,0.923,0.923,0.923,0.000,"Omega_toxin[Conotoxin:0.0769]; Ig[C2-set_2:1, V-set:1, I-set:0.846, Ig_3:0.462, Ig_2:1, ig:0.0769]",N/A,N/A,N/A,GO:0005886:plasma membrane:NAS; GO:0009986:cell surface:IDA; GO:0005912:adherens junction:IDA; GO:0005886:plasma membrane:IDA; GO:0005917:nephrocyte diaphragm:IDA; GO:0005917:nephrocyte diaphragm:IDA;
22,CMT_S,FBgn0028370,kek3,13,0.333,0.000,1.000,0.000,1.000,0.000,"Ig[I-set:1]; LRR[LRR_8:1, LRR_5:1]",N/A,"Ig[I-set, Ig_2, ig, Ig_3]; LRRNT",N/A,GO:0005886:plasma membrane:ISS; GO:0005887:integral component of plasma membrane:ISM;
23,CMT_S,FBgn0028482,bdl,15,0.689,0.467,0.800,0.800,1.000,0.000,"Ig[V-set:0.933, I-set:1, Ig_2:0.933]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005887:integral component of plasma membrane:IDA;
24,CMT_S,FBgn0029082,hbs,23,0.870,0.870,0.870,0.870,1.000,0.000,"Ig[C2-set_2:1, I-set:1, Ig_3:0.13, Ig_2:0.522]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005886:plasma membrane:ISS; GO:0016324:apical plasma membrane:IDA; GO:0005913:cell-cell adherens junction:IDA;
25,CMT_S,FBgn0029974,dpr14,12,0.944,0.917,1.000,0.917,1.000,0.208,"Ig[V-set:0.0833, I-set:1, Ig_3:0.167]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
26,CMT_SE,FBgn0030174,CG15312,28,1.000,1.000,1.000,1.000,0.357,0.143,Ig[Ig_2:1]; fn3[fn3:0.214],N/A,"Ig[Ig_2]; fn3[fn3, fn3_4, fn3_2, DUF4998, Pur_ac_phosph_N, Tissue_fac, EpoR_lig-bind, Interfer-bind]",N/A,N/A
27,CMT_T,FBgn0030887,CG6867,14,0.024,0.000,0.000,0.071,1.000,0.000,Ig[I-set:1]; Beta_propeller_XC[OLF:1]; Collagen:1,N/A,N/A,Col_cuticle_N,N/A
28,CMT_S,FBgn0031016,kek5,14,0.929,0.929,0.929,0.929,1.000,0.000,"Ig[I-set:1]; LRR[LRR_8:1, LRR_4:0.0714, LRR_5:1]; LRRCT:0.786; LRRNT:0.143",N/A,N/A,N/A,GO:0005887:integral component of plasma membrane:ISM; GO:0005886:plasma membrane:IDA;
29,CMT_G,FBgn0031627,CG15630,13,0.846,0.846,0.846,0.846,0.385,0.923,"Ig[I-set:1, ig:1]; fn3[fn3:0.769]",N/A,N/A,N/A,N/A
30,CMT_S,FBgn0031725,DIP-eta,22,0.485,0.545,0.545,0.364,1.091,0.000,"Ig[I-set:1, Ig_2:0.0455]",N/A,N/A,N/A,N/A
31,CMT_G,FBgn0031837,DIP-iota,11,0.727,0.727,0.727,0.727,0.091,0.500,"Ig[I-set:1, ig:0.273]",N/A,N/A,N/A,GO:0005886:plasma membrane:ISS;
32,CMT_S,FBgn0031872,ihog,12,0.972,1.000,1.000,0.917,1.000,0.000,"Ig[Ig_3:0.333, I-set:1, Ig_2:0.917, ig:0.833]; fn3[fn3:1]",RCR:0.0833,N/A,N/A,GO:0016021:integral component of membrane:ISS; GO:0009986:cell surface:IDA;
33,CMT_S,FBgn0032006,Pvr,73,0.986,0.986,0.986,0.986,1.000,0.000,"Ig[Adeno_E3_CR1:0.37, V-set:0.575, I-set:1, Ig_3:0.0137, Ig_2:0.26, ig:0.411]",PKinase[Pkinase_Tyr:1],"Ig[ICAM_N, Ig_5]",N/A,GO:0005886:plasma membrane:NAS; GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:IDA;
34,CMT_S,FBgn0033159,Dscam1,236,0.890,0.852,0.907,0.911,1.004,0.072,"Ig[Ig_3:0.369, I-set:1, Ig_2:0.0763, ig:0.0169]; fn3[fn3:1]",Dscam_C:1,"Ig[Ig_2, I-set, V-set, Ig_3, C1-set]",N/A,GO:0005887:integral component of plasma membrane:ISS; GO:0030425:dendrite:IDA; GO:0043025:neuronal cell body:IDA; GO:0030424:axon:IDA; GO:0005887:integral component of plasma membrane:ISM; GO:0043005:neuron projection:IDA; GO:0043025:neuronal cell body:IDA;
35,CMT_S,FBgn0034013,unc-5,17,0.804,0.706,0.941,0.765,1.176,0.382,Ig[I-set:1]; TSP_1:1,Death[Death:1]; ZU5:1,"Ig[I-set, Ig_2, ig, Ig_3, C2-set_2, Izumo-Ig]",N/A,N/A
36,CMT_[SM],FBgn0034083,lbk,12,0.028,0.000,0.000,0.083,2.083,0.042,"Ig[I-set:1, Ig_2:0.583]; LRR[LRR_8:1, LRR_9:0.0833, LRR_4:0.333, LRR_5:1]",N/A,LRRNT,N/A,N/A
37,CMT_E,FBgn0034286,dpr13,16,0.083,0.000,0.000,0.250,0.188,0.156,"Ig[V-set:0.938, Ig_3:1]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
38,CMT_G,FBgn0034723,CG13506,12,1.000,1.000,1.000,1.000,0.750,1.000,"Ig[I-set:1, Ig_3:0.417, ig:0.167, Ig_2:0.833]",N/A,"fn3[fn3, fn3_4]",N/A,N/A
39,CMT_E,FBgn0036146,CG14141,12,0.944,0.917,1.000,0.917,0.083,0.083,Ig[I-set:1],N/A,"Ig[I-set, Ig_2, ig, Ig_3, Ig_5, V-set, Ig_4, V-set_CD47]",N/A,N/A
40,CMT_S,FBgn0036454,CG17839,14,0.929,0.929,0.929,0.929,0.857,0.000,"Ig[I-set:0.929, Ig_2:0.929, ig:1]; fn3[fn3:1, Pur_ac_phosph_N:0.143]; DB:1",N/A,fn3[fn3_4],N/A,GO:0005634:nucleus:IDA;
41,CMT_[GS],FBgn0037107,CG7166,14,0.667,0.571,0.857,0.571,1.143,0.714,"Ig[I-set:1, Ig_2:0.571]",N/A,"fn3[fn3, Pur_ac_phosph_N, fn3_2, fn3_4]",N/A,GO:0005576:extracellular region:ISS;
42,CMT_G,FBgn0037240,Cont,12,0.944,0.917,1.000,0.917,1.083,0.875,"Lectin_C[Herpes_UL45:0.25, Lectin_C:0.75]; Ig[I-set:1, Ig_2:0.833, ig:0.917]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005918:septate junction:NAS; GO:0005918:septate junction:IDA; GO:0005919:pleated septate junction:IDA; GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:IDA;
43,CMT_S,FBgn0037736,CG12950,15,0.867,0.867,0.867,0.867,0.933,0.000,"Ig[C2-set_2:1, Ig_3:1, V-set:0.933, I-set:0.467, Ig_2:0.533]; fn3[fn3:0.933]",N/A,N/A,N/A,N/A
44,CMT_S,FBgn0037908,dpr5,14,0.500,0.571,0.571,0.357,1.357,0.179,"Ig[V-set:1, Ig_2:1]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
45,CMT_E,FBgn0037993,dpr15,14,0.738,0.714,0.786,0.714,0.071,0.000,"Ig[V-set:1, Ig_3:0.143, Ig_2:0.0714]",N/A,"Ig[I-set, Ig_2, Ig_3, ig, V-set, Ig_5, C2-set_2, C1-set, Izumo-Ig]",N/A,GO:0005575:cellular_component:ND;
46,CMT_[GE],FBgn0038084,beat-Vc,12,0.667,0.667,0.667,0.667,0.083,0.500,"Ig[C2-set_2:1, Ig_2:1]",N/A,N/A,N/A,GO:0005576:extracellular region:NAS;
47,CMT_S,FBgn0038156,CG14372,15,0.311,0.000,0.933,0.000,1.400,0.000,"Ig[C2-set_2:1, Ig_3:1, V-set:1, I-set:0.933, Ig_2:0.267]; fn3[fn3:0.933]",N/A,N/A,N/A,N/A
48,CMT_T,FBgn0038282,dpr9,25,0.040,0.040,0.040,0.040,1.400,0.040,"Ig[V-set:1, ig:0.44, Ig_2:0.56]",N/A,"Ig[Ig_2, Ig_5]",N/A,GO:0005575:cellular_component:ND;
49,CMT_G,FBgn0038494,beat-IIb,13,0.641,0.615,0.615,0.692,0.538,0.808,Ig[Ig_2:1],N/A,"Ig[I-set, Ig_2, C2-set_2, ig, C1-set, Ig_3, V-set, Izumo-Ig, Ig_5]",N/A,GO:0005576:extracellular region:NAS;
50,CMT_GE,FBgn0039089,beat-IV,14,0.524,0.143,0.571,0.857,0.286,0.429,"Ig[V-set:1, C2-set_2:0.929]",N/A,N/A,N/A,GO:0005576:extracellular region:NAS;
51,CMT_G,FBgn0039584,beat-VI,12,0.333,0.000,1.000,0.000,1.167,0.792,"Ig[V-set:1, C2-set_2:1, Ig_3:0.0833]",N/A,N/A,N/A,GO:0005576:extracellular region:NAS; GO:0031225:anchored component of membrane:ISM;
52,CMT_G,FBgn0039617,DIP-gamma,13,0.923,0.923,0.923,0.923,0.692,0.769,"Ig[V-set:0.0769, I-set:1]",N/A,N/A,N/A,N/A
53,CMT_E,FBgn0040823,dpr6,22,0.909,0.909,0.909,0.909,0.182,0.023,Ig[I-set:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
54,CMT_S,FBgn0041097,robo3,13,0.846,0.692,0.923,0.923,0.923,0.000,"Ig[I-set:1, Ig_2:1]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005886:plasma membrane:NAS; GO:0030424:axon:IDA;
55,CMT_TE,FBgn0051361,dpr17,14,0.024,0.000,0.071,0.000,0.857,0.107,"Ig[V-set:1, ig:0.429, Ig_2:0.571]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
56,CMT_S,FBgn0051431,CG31431,14,0.810,0.714,0.786,0.929,1.071,0.000,"Ig[I-set:1, Ig_2:1]",N/A,N/A,N/A,GO:0016021:integral component of membrane:ISS;
57,CMT_G,FBgn0051646,DIP-theta,21,0.270,0.048,0.286,0.476,0.619,0.524,"Ig[V-set:0.476, I-set:1]",N/A,N/A,N/A,N/A
58,CMT_S,FBgn0051774,fred,21,0.746,0.714,0.762,0.762,1.000,0.000,"Ig[C2-set_2:0.238, Ig_3:0.952, V-set:0.857, I-set:1, Ig_2:1, ig:0.905]; fn3[fn3:1]",N/A,"fn3[DUF4959, fn3, DUF2369]",DUF2668,GO:0005575:cellular_component:ND;
59,CMT_S,FBgn0051814,CG31814,18,0.389,0.000,0.389,0.778,0.778,0.028,Ig[I-set:1],N/A,N/A,N/A,N/A
60,CMT_G,FBgn0053543,CG33543,15,0.778,0.733,0.867,0.733,0.200,0.800,"Ig[I-set:1, ig:1]",N/A,"fn3[fn3, fn3_4, fn3_2, Pur_ac_phosph_N]",N/A,GO:0016020:membrane:ISS;
61,CMT_S,FBgn0085400,CG34371,12,0.722,0.583,0.833,0.750,1.083,0.000,"Ig[C2-set_2:1, Ig_3:0.167, V-set:1, I-set:1, Ig_2:0.25]; fn3[fn3:0.167]",N/A,"Ig[C1-set]; fn3[fn3, fn3_2, fn3_4, Tissue_fac, Pur_ac_phosph_N, Interfer-bind]",N/A,N/A
62,CMT_G,FBgn0085414,dpr12,27,0.889,0.889,0.889,0.889,0.000,0.907,"Ig[V-set:0.259, I-set:0.704, Ig_2:1]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
63,CMT_G,FBgn0085420,DIP-delta,23,0.565,0.565,0.565,0.565,0.435,0.717,"Ig[I-set:1, Ig_2:0.087, ig:0.0435]; CBM_14_19[CBM_14:0.0435]",N/A,N/A,N/A,N/A
64,CMT_SE,FBgn0086604,CG12484,35,1.000,1.000,1.000,1.000,0.886,0.000,"Ig[C2-set_2:1, V-set:1, Ig_3:1, Ig_2:1, ig:0.286]",N/A,"fn3[fn3, fn3_2, DUF4998, Tissue_fac, fn3_4, EpoR_lig-bind, Pur_ac_phosph_N, Interfer-bind, DUF4959]",N/A,GO:0005886:plasma membrane:ISS;
65,CMT_S,FBgn0259213,CG42313,13,0.615,0.538,0.692,0.615,1.385,0.000,"Ig[C2-set_2:0.923, V-set:0.846, I-set:0.846, Ig_3:1]",DuoxA:0.0769,"fn3[fn3, Tissue_fac]",N/A,GO:0005575:cellular_component:ND;
66,CMT_G,FBgn0259714,DIP-epsilon,13,0.667,0.692,0.769,0.538,0.231,0.808,Ig[I-set:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
67,CMT_S,FBgn0261871,dpr2,15,0.311,0.067,0.400,0.467,0.667,0.033,"Ig[V-set:0.933, I-set:1]",N/A,"Ig[Ig_5, Marek_A]",N/A,GO:0005575:cellular_component:ND;
68,CMT_S,FBgn0263219,Dscam4,49,0.810,0.878,0.878,0.673,0.918,0.000,"Ig[I-set:1, Ig_3:0.878, Ig_2:0.98]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005887:integral component of plasma membrane:ISM;
69,CMT_S,FBgn0264975,Nrg,25,1.000,1.000,1.000,1.000,0.960,0.280,"Ig[Ig_3:0.68, I-set:1, ig:0.72]; fn3[fn3:1]",Bravo_FIGEY:0.96,N/A,N/A,GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:NAS; GO:0016328:lateral plasma membrane:TAS; GO:0005918:septate junction:IDA; GO:0005919:pleated septate junction:IDA; GO:0030175:filopodium:IDA; GO:0005886:plasma membrane:IDA; GO:0005886:plasma membrane:IDA; GO:0005918:septate junction:IDA; GO:0005886:plasma membrane:IDA;
70,CMT_SE,FBgn0265296,Dscam2,31,0.935,0.935,0.935,0.935,0.903,0.032,"Ig[I-set:1, Ig_3:0.968]; fn3[fn3:0.903]",N/A,N/A,N/A,GO:0005887:integral component of plasma membrane:ISM;
71,CMT_[SE],FBgn0265607,beat-IIIa,13,0.026,0.000,0.077,0.000,1.462,0.269,"Ig[V-set:1, Ig_3:1]",N/A,N/A,N/A,GO:0005576:extracellular region:NAS;
72,CMT_S,FBgn0267428,CG45781,10,0.500,0.300,0.600,0.600,0.600,0.350,Ig[I-set:1],C2H2-zf[zf-C2H2_jaz:0.1],N/A,N/A,GO:0005575:cellular_component:ND;
73,CMT_S,FBgn0267728,otk2,12,0.917,0.917,0.917,0.917,1.000,0.167,"Ig[V-set:0.833, I-set:1, ig:0.0833]",N/A,N/A,N/A,GO:0016021:integral component of membrane:ISM;
74,CMT_E,FBgn0267911,trol,171,0.604,0.538,0.871,0.404,0.579,0.102,"Ig[Ig_3:0.743, I-set:1, Ig_2:1, ig:0.439]; EGF[hEGF:0.193, Laminin_EGF:0.994, EGF_2:0.00585, EGF:0.977]; SEA[SEA:0.129]; Laminin_G[Laminin_G_2:0.977, Laminin_G_1:0.819]; Ldl_recept_a:0.994; Laminin_B:0.994; Trypan_PARP:0.216",N/A,SEA[SEA]; EGF[EGF_CA],PRKCSH-like,GO:0005578:proteinaceous extracellular matrix:NAS; GO:0005604:basement membrane:ISS; GO:0005811:lipid particle:IDA; GO:0005654:nucleoplasm:IDA; GO:0005829:cytosol:IDA;
75,CMT_GE,FBgn0051619,nolo,41,0.772,0.463,0.927,0.927,0.024,0.037,Ig[I-set:0.976]; PLAC:0.756; TSP_1:1,N/A,"Ig[I-set, Ig_2, ig]",N/A,GO:0005578:proteinaceous extracellular matrix:IEA;
76,CMT_S,FBgn0021764,sdk,34,0.471,0.000,0.706,0.706,0.971,0.000,"Ig[I-set:0.971, Ig_2:0.882]; fn3[fn3:1]",N/A,N/A,N/A,GO:0005887:integral component of plasma membrane:NAS; GO:0098595:perivitelline space:IDA;
77,CMT_SG,FBgn0261046,Dscam3,30,0.522,0.000,0.833,0.733,1.167,0.033,"Ig[I-set:0.967, Ig_3:0.767, Ig_2:0.2]; fn3[fn3:0.933]",N/A,"Ig[C1-set]; fn3[DUF4959, DUF2369, DUF4998, fn3_2, Pur_ac_phosph_N, fn3, fn3_4, Tissue_fac, Interfer-bind]; Fibrinogen_C[Fibrinogen_C]",N/A,GO:0005886:plasma membrane:ISS; GO:0005887:integral component of plasma membrane:ISM;
78,CMT_G,FBgn0051708,DIP-zeta,24,0.792,0.792,0.792,0.792,0.625,0.688,"Ig[V-set:0.0417, I-set:0.958]",N/A,N/A,N/A,N/A
79,CMT_E,FBgn0052057,dpr10,24,0.847,0.833,0.875,0.833,0.042,0.042,"Ig[I-set:0.958, Ig_3:0.0417, Ig_2:0.875]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
80,CMT_S,FBgn0000464,Lar,66,0.909,0.909,0.909,0.909,1.000,0.000,Ig[I-set:0.955]; fn3[fn3:1],Phosphatase[Y_phosphatase:1],N/A,N/A,GO:0005886:plasma membrane:ISS; GO:0005886:plasma membrane:ISS; GO:0016021:integral component of membrane:NAS; GO:0005875:microtubule associated complex:IDA; GO:0030424:axon:IDA; GO:0005886:plasma membrane:IDA; GO:0005925:focal adhesion:IDA;
81,CMT_E,FBgn0001257,ImpL2,22,0.955,0.955,0.955,0.955,0.000,0.000,"Ig[I-set:0.955, Ig_2:0.636]",N/A,N/A,N/A,GO:0005576:extracellular region:NAS; GO:0005615:extracellular space:IDA;
82,CMT_E,FBgn0011260,Sema-2a,20,0.933,0.900,1.000,0.900,0.100,0.025,Ig[ig:0.95]; Beta_propeller_XC[Sema:1]; PSI:1,N/A,N/A,N/A,GO:0005576:extracellular region:ISS; GO:0005576:extracellular region:NAS; GO:0005576:extracellular region:NAS; GO:0012505:endomembrane system:IDA; GO:0005829:cytosol:IDA;
83,CMT_S,FBgn0052600,dpr8,19,0.737,0.737,0.737,0.737,0.579,0.000,"Ig[V-set:0.737, ig:0.947]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
84,CMT_SE,FBgn0259245,DIP-beta,18,0.278,0.000,0.778,0.056,0.667,0.028,"Ig[V-set:0.0556, I-set:0.944, ig:0.0556]",N/A,fn3[fn3],N/A,GO:0005575:cellular_component:ND;
85,CMT_E,FBgn0003984,vn,17,0.471,0.059,0.706,0.647,0.353,0.000,Ig[I-set:0.941]; EGF[EGF:0.824],N/A,"Ig[Ig_2, I-set, ig, Ig_3, C2-set_2, V-set]",N/A,GO:0005576:extracellular region:NAS; GO:0005576:extracellular region:TAS; GO:0005576:extracellular region:NAS; GO:0005886:plasma membrane:NAS; GO:0005576:extracellular region:TAS;
86,CMT_S,FBgn0013433,beat-Ia,17,0.765,0.647,0.824,0.824,0.471,0.000,"Ig[V-set:0.941, C2-set_2:0.353, ig:0.0588, Ig_2:0.176]",N/A,"Ig[Ig_2, I-set, C2-set_2, ig, C1-set, Ig_3, V-set]",N/A,GO:0005576:extracellular region:ISS;
87,CMT_S,FBgn0038498,beat-IIa,17,0.275,0.000,0.824,0.000,1.588,0.000,Ig[Ig_2:0.941],N/A,"Ig[C2-set_2, Ig_2, I-set, C1-set]",N/A,GO:0005576:extracellular region:NAS; GO:0005887:integral component of plasma membrane:ISM;
88,CMT_G,FBgn0052791,DIP-alpha,16,0.604,0.562,0.625,0.625,0.250,0.656,"Ig[I-set:0.938, ig:0.0625, Ig_2:0.0625]",N/A,N/A,N/A,N/A
89,CMT_S,FBgn0083950,CG34114,16,0.688,0.688,0.688,0.688,0.938,0.000,"Ig[C2-set_2:0.938, Ig_3:0.875, V-set:0.25, I-set:0.5, Ig_2:0.875]; fn3[fn3:0.812]",SUIM_assoc:0.0625,N/A,N/A,N/A
