Leading protein IDs	Protein name	Gene name	Protein ID	Name	id	MW(kDa)	Coverage_T4T5 (%)	Peptide_count_T4T5	Peptide_ids_T4T5	Evidence_count_T4T5	Evidence_ids_T4T5	Spectral_count_T4T5	Spectrum_ids_T4T5	log10(expression)_original_T4T5	log10(expression)_normalized_T4T5	log10(expression)_imputed_T4T5	log2(ratio)_original_T4T5	log2(ratio)_normalized_T4T5	log2(ratio)_imputed_T4T5	Enriched - T4T5
Q0E8E8;Q9XZE4	MIP08013p1;Phosphate transporter	MPCP2	Q0E8E8;Q9XZE4;Q8SYD4;Q8SYD4	Q0E8E8;Q9XZE4	65	38.85	21.1	9	589;815;911;1301;1302;1693;2630;2952;3027	13	905;1286;1287;1446;2124;2125;2793;4527;5061;5062;5063;5180;5181	13	819;1168;1169;1325;2013;2014;2620;4276;4773;4774;4775;4883;4884	8.916985305091	8.76046802886875	8.76046802886875	2.28286480312461	0.86645322955127	0.86645322955127	0
CON__P13645	Keratin, type I cytoskeletal 10	KRT10;KRT12;KRT18;KRT24;KRT25;KRT26;KRT27;KRT28;KRT31;KRT32;KRT33B;KRT35;KRT36;KRT37;KRT38	CON__P13645;CON__P02535;CON__Q2M2I5;CON__Q148H6;CON__Q7Z3Y7;CON__Q7Z3Y8;CON__Q7Z3Z0;CON__O76013;CON__O76014;CON__O76015;CON__P05784;CON__Q14525;CON__Q14532;CON__Q15323;CON__Q497I4;CON__Q61765;CON__Q92764;CON__Q99456;CON__Q7Z3Y9	K1C10	860	58.827	41.1	26	33;80;179;326;675;676;1082;1305;1389;1420;1967;1968;2009;2018;2186;2191;2192;2193;2232;2266;2340;2388;2835;2919;2947;3049	37	73;245;494;1054;1055;1056;1057;1058;1711;2131;2132;2268;2339;2340;2341;2344;3358;3359;3363;3421;3422;3423;3442;3746;3747;3753;3756;3757;3828;3884;4003;4081;4883;5015;5016;5051;5256	37	65;225;226;446;447;949;950;951;952;1561;2019;2020;2137;2204;2205;2206;3189;3190;3248;3249;3250;3539;3540;3546;3548;3549;3617;3667;3779;3780;3843;4616;4617;4729;4730;4763;4986	8.8317902017492	8.67527292552695	8.67527292552695	-0.692062915612328	-2.10847448918566	-2.10847448918566	0
Q6NND1;Q9V4E7	Transporter;Transporter	CG1732;GAT	Q6NND1;Q9V4E7;Q8IMC1;Q6NP45;Q8IMC1;Q6NP45	Q6NND1;Q9V4E7	87	72.241	13.4	8	199;205;649;889;969;1075;1148;2231	8	274;280;1002;1409;1533;1700;1810;3827	8	250;256;903;1292;1401;1546;1668;3616	8.80296518301295	8.6464479067907	8.6464479067907	3.27421344562208	1.85780187204874	1.85780187204874	1
A8JR25	Fasciclin 1, isoform D	FAS1	A8JR25;A0A0B4KH94;B7Z0L0;B7Z0L1;P10674;Q8MSW3;Q9VES3	A8JR25	17	73.733	35.8	22	18;19;133;723;866;876;1090;1224;1225;1226;1478;1489;1698;1850;1984;2134;2370;2462;2491;2800;2953;3130	33	172;1132;1133;1134;1135;1373;1388;1732;1733;1924;1925;1926;1927;2432;2433;2452;2817;3053;3054;3382;3637;3638;3639;3640;3641;4048;4049;4254;4255;4303;4822;5065;5369	44	165;1021;1022;1023;1024;1025;1026;1027;1258;1275;1594;1770;1771;1772;1773;1774;2283;2284;2300;2646;2840;2841;3209;3446;3447;3448;3449;3450;3817;3818;4025;4026;4027;4028;4029;4070;4071;4558;4559;4560;4561;4777;4778;5093	8.70902645030522	8.55250917408297	8.55250917408297	3.05446047825441	1.63804890468107	1.63804890468107	1
Q8INA9	Fasciclin 1, isoform C	FAS1	Q8INA9;A0A0B4KH94;B7Z0L0;B7Z0L1;P10674;Q8MSW3;Q9VES3	Q8INA9	16	72.991	36	22	18;19;133;723;849;866;876;1090;1224;1225;1226;1478;1489;1850;1984;2134;2370;2462;2491;2800;2953;3130	33	172;1132;1133;1134;1135;1336;1373;1388;1732;1733;1924;1925;1926;1927;2432;2433;2452;3053;3054;3382;3637;3638;3639;3640;3641;4048;4049;4254;4255;4303;4822;5065;5369	44	165;1021;1022;1023;1024;1025;1026;1027;1219;1258;1275;1594;1770;1771;1772;1773;1774;2283;2284;2300;2840;2841;3209;3446;3447;3448;3449;3450;3817;3818;4025;4026;4027;4028;4029;4070;4071;4558;4559;4560;4561;4777;4778;5093	8.70902645030522	8.55250917408297	8.55250917408297	3.05446047980948	1.63804890623615	1.63804890623615	1
E1JJA4;E1JJA5	Dynamin GTPase;Dynamin GTPase	CG18102;SHI;SHI-RB	E1JJA4;E1JJA5;A4V4I8;A4V4J0;E8NH48;M9PHQ0;M9PJN9;P27619;P27619-2;X2JE15;F6J774;F6J732;A4V4I8;A4V4J0;E8NH48;M9PHQ0;M9PJN9;P27619;P27619-2;X2JE15;F6J774;F6J732	E1JJA4;E1JJA5	12	98.509	34.5	26	139;155;209;337;338;400;636;738;848;950;967;1077;1438;1521;1667;1865;1937;2152;2168;2245;2399;2524;2681;2854;2942;3006	33	183;206;286;287;288;289;512;513;609;980;1161;1163;1334;1504;1505;1531;1702;2374;2375;2525;2755;3190;3305;3682;3707;3708;3845;4096;4359;4615;4909;5043;5150	30	193;262;263;264;265;266;464;465;551;885;1051;1218;1375;1376;1548;2232;2233;2376;2586;3036;3143;3482;3501;3502;3634;3857;4359;4638;4756;4858	8.6798365589181	8.52331928269585	8.52331928269585	2.57218646624576	1.15577489267243	1.15577489267243	1
P06603;P06605	Tubulin alpha-1 chain;Tubulin alpha-3 chain	;ALPHATUB84B;ALPHATUB84D;ALPHATUB85E	P06603;P06605;K7WKV0;K7WKV5;K7WQ56;K7WQ63;K7WSB1;K7WSB4;K7X561;K7XI11;K7XI17;P06604;K7WKV0;K7WKV5;K7WQ56;K7WQ63;K7WSB1;K7WSB4;K7X561;K7XI11;K7XI17;P06604	TBA1;TBA3	52	49.908	25.8	10	24;289;517;582;786;954;1207;1725;2150;2637	15	426;427;428;801;894;1237;1509;1893;1894;2865;2866;3678;3679;3680;4535	17	383;384;385;386;724;809;1122;1123;1380;1743;1744;2687;2688;3478;3479;3480;4284	8.66613199833902	8.50961472211677	8.50961472211677	0.64486177173881	-0.771549801834536	-0.771549801834536	0
CON__P35908	Keratin, type II cytoskeletal 2 epidermal	KRT2;KRT73	CON__P35908;CON__Q6NXH9	K22E	862	65.433	37.4	22	254;541;585;835;935;945;1388;1409;1410;1578;1633;1921;2010;2228;2352;2609;2716;2722;2870;3044;3048;3087	30	367;836;899;1315;1316;1481;1495;2266;2314;2317;2318;2615;2703;3275;3276;3277;3430;3431;3822;4024;4497;4684;4685;4694;4931;5243;5244;5253;5254;5308	33	332;756;814;1198;1199;1354;1368;2183;2186;2187;2461;2544;3115;3116;3117;3118;3119;3256;3257;3611;3794;4250;4251;4433;4434;4435;4436;4444;4655;4972;4973;4983;5040	8.6253619005377	8.46884462431545	8.46884462431545	-1.15591329526263	-2.57232486883596	-2.57232486883596	0
A0A0B4KGI5;E1JIJ8;P07140	Carboxylic ester hydrolase;Carboxylic ester hydrolase;Acetylcholinesterase	ACE	A0A0B4KGI5;E1JIJ8;P07140;Q8T0K7;Q8T0K7;Q8T0K7	A0A0B4KGI5;E1JIJ8;ACES	43	70.794	17.3	12	353;532;584;746;747;912;1779;1818;2512;3090;3091;3092	15	536;537;823;824;896;1181;1182;1447;2949;3008;4335;5313;5314;5316;5317	17	483;484;743;744;811;812;1074;1075;1076;1326;2756;2803;4098;5044;5045;5046;5047	8.61788062559003	8.46136334936778	8.46136334936778	3.71803159746372	2.30162002389039	2.30162002389039	1
A0A0B4LGD3	Kazachoc, isoform G	KCC	A0A0B4LGD3;A0A0B4LHE0;Q8MKK5;Q8MLQ5;Q9W1G5;Q9W1G6	A0A0B4LGD3	26	119.705	15.3	16	322;765;966;976;999;1020;1185;1457;1605;1606;1640;2022;2381;2398;2498;2993	17	489;1207;1529;1544;1584;1613;1614;1863;2399;2658;2659;2716;3448;4066;4094;4312;5132	17	441;1097;1398;1410;1444;1470;1471;1713;2254;2506;2507;2555;3273;3833;3855;4078;4843	8.49851731146163	8.34200003523938	8.34200003523938	3.48408367634647	2.06767210277313	2.06767210277313	1
A0A6H2EIE0;A0A6H2EJK0;O77062;Q5BIC0	Amino acid transporter;Amino acid transporter;Amino acid transporter;Amino acid transporter	EAAT1	A0A6H2EIE0;A0A6H2EJK0;O77062;Q5BIC0	A0A6H2EIE0;A0A6H2EJK0;O77062;Q5BIC0	130	53.777	15.4	6	631;1344;1720;1862;1988;2863	7	972;2198;2199;2851;3185;3389;4921	7	879;2078;2079;2673;3031;3216;4648	8.48530964505186	8.32879236882961	8.32879236882961	2.49829714995323	1.08188557637989	1.08188557637989	1
P10987;X2JCP8	Actin-5C;Actin 5C, isoform E	ACT42A;ACT5C	P10987;X2JCP8;P02572;P02572	ACT1;X2JCP8	83	41.822	22.6	7	129;491;1067;1210;2118;2443;2688	9	152;761;1689;1690;1898;3608;4226;4625;4626	8	136;1536;1748;3420;4001;4368;4369;4370	8.474466567073	8.31794929085075	8.31794929085075	-0.29793854377448	-1.71435011734781	-1.71435011734781	0
A1ZBL0;E0R982;Q24560	Tubulin beta chain;GH12877p;Tubulin beta-1 chain	;BETATUB56D;BETATUB56D-RA;BETATUB60D;BETATUB85D;BETATUB97EF	A1ZBL0;E0R982;Q24560;P61857;A0A0B4LGH1;P08841;Q7M3K0;Q7M3K1;Q8MST5;Q9VAX7;P61857;A0A0B4LGH1;P08841;Q7M3K0;Q7M3K1;Q8MST5;Q9VAX7;P61857;A0A0B4LGH1;P08841;Q7M3K0;Q7M3K1;Q8MST5;Q9VAX7	A1ZBL0;E0R982;TBB1	74	51.297	20.6	7	301;736;953;1268;1286;1424;1987	9	448;449;1157;1508;2009;2102;2349;2350;3388	12	406;407;1047;1379;1864;1993;2211;2212;2213;3213;3214;3215	8.47285733429652	8.31634005807427	8.31634005807427	2.32014676537294	0.903735191799598	0.903735191799598	0
Q7JS69	FI04632p	NRV3	Q7JS69;M9PDX8;Q86NM2	Q7JS69	132	36.198	19	6	847;1038;1195;2446;2561;3142	6	1333;1640;1877;4229;4416;5398	7	1217;1492;1726;4004;4176;5142;5143	8.47111561002987	8.31459833380762	8.31459833380762	3.06308366863131	1.64667209505797	1.64667209505797	1
A4V0B5;Q24048	Nervana 2, isoform F;Sodium/potassium-transporting ATPase subunit beta-2	NRV2	A4V0B5;Q24048;Q1RL12;Q24048-2;Q1RL12;Q24048-2	A4V0B5;ATPB2	89	37.283	21.1	7	26;1045;1116;1203;2170;2362;2891	9	1649;1764;1765;1889;3710;3711;4036;4960;4961	9	1502;1625;1626;1738;3504;3505;3806;4679;4680	8.44605538603195	8.2895381098097	8.2895381098097	4.12549823583617	2.70908666226284	2.70908666226284	1
Q9W4A6	Otopetrin-like a, isoform A	CG42492-RC;OTOPLA	Q9W4A6;D1Z3A7	Q9W4A6	30	99.408	18.3	16	717;819;898;1480;1849;1877;2006;2007;2259;2303;2518;2695;2696;2697;2756;2797	28	1121;1122;1291;1292;1422;1423;2440;3051;3205;3206;3411;3412;3875;3942;3943;4345;4346;4347;4348;4349;4636;4637;4638;4639;4640;4751;4816;4817	31	1011;1012;1013;1173;1174;1305;2289;2838;3050;3051;3052;3053;3236;3237;3238;3658;3720;3721;4109;4110;4111;4112;4113;4114;4378;4379;4380;4381;4492;4553;4554	8.42248532414077	8.26596804791852	8.26596804791852	1.55293776280199	0.136526189228655	0.136526189228655	0
Q9W2L6	RH02475p	DMEL\CG9394	Q9W2L6	Q9W2L6	22	76.707	33.4	19	76;226;252;357;412;562;698;1062;1345;1490;2249;2274;2539;2596;2606;2612;2666;2703;3053	22	66;315;362;543;625;864;1094;1678;1679;2200;2453;3850;3897;4378;4471;4485;4500;4582;4583;4663;4664;5262	25	58;288;328;489;566;781;985;1526;1527;2080;2301;3639;3679;4141;4142;4228;4241;4254;4331;4332;4410;4411;4412;4413;4991	8.38298906196446	8.22647178574221	8.22647178574221	4.42870004709817	3.01228847352484	3.01228847352484	1
D0IQJ1;M9PDW0;M9PE71;Q86BQ0;Q9W0C1;Q9W0C2	RH40025p;Neuronal synaptobrevin, isoform K;Neuronal synaptobrevin, isoform J;GH19566p;GH04664p;Neuronal synaptobrevin, isoform E	N-SYB-RD;NSYB	D0IQJ1;M9PDW0;M9PE71;Q86BQ0;Q9W0C1;Q9W0C2	D0IQJ1;M9PDW0;M9PE71;Q86BQ0;Q9W0C1;Q9W0C2	131	14.558	35.6	6	68;887;1686;1705;1706;2223	6	51;1407;2784;2825;2826;3813	6	43;1290;2613;2653;2654;3602	8.3559493227878	8.19943204656555	8.19943204656555	4.5030245319258	3.08661295835246	3.08661295835246	1
B7FNQ9;Q95TM6;Q9VW22	RE63961p;LD38816p;FI18195p1	CG8793-RA;L(3)76BDM	B7FNQ9;Q95TM6;Q9VW22	B7FNQ9;Q95TM6;Q9VW22	521	147.716	0.9	1	1400	1	2287	1	2153	8.35506820634885	8.1985509301266	8.1985509301266	#NUM!	#NUM!	10.1272752326645	1
Q9U4G1	Protein borderless	BDL	Q9U4G1	BDL	32	81.213	23.9	15	117;380;389;767;768;861;1098;1188;1500;1533;1625;1975;2873;2918;2920	22	136;573;588;1210;1211;1364;1744;1866;2470;2546;2687;3371;4935;5005;5006;5007;5008;5009;5010;5011;5012;5017	23	123;518;532;1100;1101;1250;1605;1716;2315;2396;2531;3200;4658;4718;4719;4720;4721;4722;4723;4724;4725;4726;4731	8.35487642251623	8.19835914629398	8.19835914629398	4.30375254634487	2.88734097277153	2.88734097277153	1
