,Domains
FBgn0029831,Lipase/Abhydrolase_1/Abhydrolase_6
FBgn0029835,PDZ/PDZ_6/PDZ_2/Peptidase_M50
FBgn0029843,Peptidase_M13_N/Peptidase_M13
FBgn0003514,EF-hand_7/EF-hand_6/EF-hand_1/EF-hand_5/EF-hand_9
FBgn0029848,Vanin_C/CN_hydrolase
FBgn0040069,Vanin_C/CN_hydrolase
FBgn0052751,Vanin_C/CN_hydrolase
FBgn0052750,Vanin_C/CN_hydrolase
FBgn0026060,His_Phos_2
FBgn0029837,Tetraspanin
FBgn0005390,BppL_N
FBgn0000442,Pkinase/cNMP_binding/PK_Tyr_Ser-Thr/Kinase-like
FBgn0026438,SDF
FBgn0040106,Lectin_C
FBgn0053127,Trypsin
FBgn0004583,FERM_M/FERM_C
FBgn0031256,DnaJ_C/DnaJ
FBgn0013323,IL17
FBgn0015924,CD36
FBgn0031250,Nucleoside_tran/MFS_1
FBgn0031249,Trypsin/Trypsin_2/DUF1986
FBgn0031248,Trypsin
FBgn0031216,DHR-2_Lobe_A/DOCK-C2/DOCK_C-D_N/DHR-2_Lobe_B/DHR-2_Lobe_C
FBgn0003444,Frizzled/Fz
FBgn0025686,Amnionless
FBgn0051976,DUF1091
FBgn0026787,Na_H_Exchanger
FBgn0051973,CBM_14/Polysacc_deac_1
FBgn0031209,Lig_chan/Lig_chan-Glu_bd
FBgn0002121,LLGL/Lgl_C
FBgn0036970,Serpin
FBgn0036977,Lipase
FBgn0001259,Intu_longin_2/Intu_longin_1/Intu_longin_3
FBgn0036980,BTB/Ras/Roc
FBgn0036996,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0036999,Peptidase_M28/Nicastrin
FBgn0037004,MFS_1/Sugar_tr/OATP
FBgn0037005,MFS_1/MFS_1_like
FBgn0037013,DUF1091
FBgn0037012,Amnionless
FBgn0037000,Cation_efflux
FBgn0036995,LRR_8/LRR_4/LRR_5/LRR_1/LRR_9/LRR_6
FBgn0036988,Aa_trans/Trp_Tyr_perm
FBgn0036984,AA_permease_2/AA_permease/AA_permease_C
FBgn0001247,Peptidase_M16_M/Peptidase_M16_C/Peptidase_M16
FBgn0036978,LRR_8/LRR_4/TIR/TIR_2/LRR_5
FBgn0037016,VWC
FBgn0052432,Ldl_recept_a/CUB
FBgn0037017,Vps26/Arrestin_N
FBgn0045474,7tm_7
FBgn0024150,Guanylate_cyc/Adcy_cons_dom/AC_N
FBgn0037039,Trypsin/Trypsin_2
FBgn0037038,Trypsin
FBgn0037036,Trypsin/Trypsin_2
FBgn0037068,Chitin_bind_4
FBgn0037069,Chitin_bind_4
FBgn0053288,RCC1/RCC1_2
FBgn0037090,COesterase/BD-FAE/Abhydrolase_3
FBgn0037092,Myelin_PLP
FBgn0053289,ASC
FBgn0028663,ATP_synt_H
FBgn0037099,Kazal_2
FBgn0037067,Chitin_bind_4
FBgn0037128,DUF4794
FBgn0037131,DUF4794
FBgn0037130,PH_17/PDZ/PH/PDZ_6
FBgn0037124,DUF4794
FBgn0037123,DUF4794
FBgn0037122,DUF4794
FBgn0052447,7tm_3
FBgn0037114,Chitin_bind_4
FBgn0037107,Ig_3/I-set/ig/Ig_2/V-set/Ig_5/Izumo-Ig/Ig_6
FBgn0037140,Sugar_tr/MFS_1
FBgn0037144,Sugar_tr/MFS_1/TRI12
FBgn0029091,Chitin_synth_2/Glyco_trans_2_3/Glyco_tranf_2_3
FBgn0004514,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0004179,DnaJ
FBgn0037163,PAP2
FBgn0004449,Tox-GHH/EGF_2/RHS_repeat/NHL
FBgn0037174,JHBP
FBgn0037176,DUF1091
FBgn0037179,Mucin/Med3
FBgn0037180,SSP160
FBgn0037188,RasGEF/RasGEF_N
FBgn0052451,E1-E2_ATPase/Cation_ATPase_C/Cation_ATPase_N/Cation_ATPase/Hydrolase
FBgn0037175,DUF1091
FBgn0037197,DUF4794
FBgn0037203,AA_permease_2/AA_permease/AA_permease_C
FBgn0037204,GYR/YLP
FBgn0010348,Arf/SRPRB/Roc/Ras/G-alpha/Gtr1_RagA/MMR_HSR1
FBgn0046878,PBP_GOBP
FBgn0037405,Kazal_2/Kazal_1
FBgn0037406,DUF1676
FBgn0037408,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srx/7TM_GPCR_Srw
FBgn0037410,DUF1676
FBgn0037411,DUF1676
FBgn0037413,DUF1676
FBgn0027527,DUF1676
FBgn0037414,DUF1676
FBgn0037415,DUF1676
FBgn0037416,DUF1676
FBgn0037419,DUF1676
FBgn0037421,DUF1676
FBgn0037422,DUF1676
FBgn0040279,DUF1676
FBgn0037424,DUF1676
FBgn0051561,DUF1676
FBgn0037427,DUF1676/DM4_12
FBgn0037428,DUF1676
FBgn0037420,DUF4766
FBgn0037418,DUF1676
FBgn0037412,DUF1676
FBgn0046875,PBP_GOBP
FBgn0046876,PBP_GOBP
FBgn0026077,CBM_14
FBgn0037399,7tm_6
FBgn0037396,Peptidase_C1/Inhibitor_I29
FBgn0037386,Sugar_tr/MFS_1
FBgn0037387,Sugar_tr/MFS_1
FBgn0037395,Astacin
FBgn0010403,PBP_GOBP
FBgn0011281,PBP_GOBP
FBgn0010051,Ins145_P3_rec/RYDR_ITPR/MIR/RIH_assoc/Ion_trans
FBgn0041191,Ras/Roc/Arf/GTP_EFTU/RsgA_GTPase/MMR_HSR1/MnmE_helical
FBgn0037364,Ras/Roc/Arf/MnmE_helical/MMR_HSR1/RsgA_GTPase/GTP_EFTU/FeoB_N
FBgn0037358,EF-hand_7/EF-hand_6/EF-hand_1/EF-hand_8/EF-hand_5/SPARC_Ca_bdg
FBgn0044823,PBD
FBgn0037339,PI3_PI4_kinase
FBgn0010399,Lig_chan/ANF_receptor/Lig_chan-Glu_bd/SBP_bac_3/CaM_bdg_C0/Ion_trans_2
FBgn0051547,SLC12/AA_permease/AA_permease_2
FBgn0037295,Ig_3/V-set/ig/I-set/Ig_2
FBgn0037324,7tm_6/7tm_7
FBgn0037322,7tm_6
FBgn0001311,Chitin_synth_2/Glyco_trans_2_3
FBgn0037315,DAGK_cat/CERK_C
FBgn0037312,MIR
FBgn0260462,Peptidase_C1/Inhibitor_I29/Peptidase_C1_2
FBgn0037290,JHBP
FBgn0037291,LRR_8/LRR_4
FBgn0037288,JHBP
FBgn0022981,ASC
FBgn0037265,Senescence
FBgn0027570,Peptidase_M13_N/Peptidase_M13
FBgn0027930,Trypsin/CLIP/Trypsin_2
FBgn0037235,Claudin_2
FBgn0037240,Ig_3/I-set/Ig_2/fn3/ig/V-set/Pur_ac_phosph_N/UL45/Lectin_C
FBgn0003882,Death_2
FBgn0037230,Peptidase_M13_N
FBgn0037215,Mannosidase_ig
FBgn0010225,Gelsolin
FBgn0037224,DUF243
FBgn0037227,DUF243
FBgn0041621,7tm_6
FBgn0037225,DUF243
FBgn0051516,DUF4773
FBgn0000500,Sulfakinin
FBgn0000299,Collagen/C4
FBgn0031678,Peptidase_M13_N
FBgn0016075,Collagen/C4
FBgn0031701,Turandot
FBgn0016920,Ank_2/Ank/Ank_4/Ank_3/Ank_5/Ion_trans
FBgn0031702,Fuseless
FBgn0003716,Pkinase/PK_Tyr_Ser-Thr/Activin_recp/TGF_beta_GS
FBgn0004620,Lig_chan/ANF_receptor/Lig_chan-Glu_bd/SBP_bac_3
FBgn0051646,Ig_3/I-set/ig/Ig_2/V-set/C2-set_2
FBgn0031725,Ig_3/I-set/ig/Ig_2/V-set/Ig_5/C2-set_2
FBgn0031735,Lipase_GDSL
FBgn0031747,Ins_allergen_rp
FBgn0002855,MAGSP
FBgn0002856,Acp26Ab
FBgn0031737,CBM_14
FBgn0031734,ABC2_membrane_3/ABC_tran/ABC2_membrane/AAA_21/ABC2_membrane_2
FBgn0003980,Vitelline_membr
FBgn0001941,FA_desaturase/Lipid_DES
FBgn0031760,Tetraspanin
FBgn0031770,7tm_1
FBgn0051642,ZZ
FBgn0040950,CBM_14
FBgn0003979,Vitelline_membr
FBgn0031803,ASC
FBgn0031805,Peptidase_M13_N/Peptidase_M13
FBgn0031808,Peptidase_M13/Peptidase_M13_N
FBgn0011722,LysM/HTH_28
FBgn0031804,Fibrinogen_C
FBgn0031799,Y_phosphatase/FERM_M/FERM_N/FERM_C
FBgn0025777,WH1
FBgn0025595,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0031850,COMP/cEGF
FBgn0028703,Na_H_Exchanger
FBgn0028990,Serpin
FBgn0051634,OATP/MFS_1/Kazal_2/MFS_1_like
FBgn0031837,Ig_3/I-set/ig/V-set/Ig_2/Adeno_E3_CR1/C2-set_2/Ig_5
FBgn0031866,COesterase
FBgn0031879,Ephrin_rec_like/EGF/CUB/hEGF/Sushi/HYR/F5_F8_type_C/EGF_3/EGF_CA/Laminin_G_3/Ldl_recept_a/FXa_inhibition
FBgn0031872,Ig_3/ig/I-set/Ig_2/fn3/V-set/Pur_ac_phosph_N/Ig_5/Ig_6
FBgn0052829,DUF4779
FBgn0031865,Na_H_Exchanger
FBgn0015776,Na_K-ATPase
FBgn0003046,Chitin_bind_4
FBgn0031897,PQ-loop
FBgn0031888,PDGF
FBgn0031902,wnt
FBgn0031903,wnt
FBgn0031907,Trehalose_PPase
FBgn0031908,Trehalose_PPase
FBgn0031910,Lectin_C
FBgn0031918,Lectin_C
FBgn0011283,PBP_GOBP
FBgn0045495,7tm_7/Trehalose_recp
FBgn0041247,7tm_7
FBgn0025697,CD36
FBgn0083141,Serpin
FBgn0031926,Ldl_recept_a/Fz
FBgn0041181,TED_complement/A2M_recep/A2M/A2M_BRD/MG2/MG3
FBgn0031942,Cuticle_4
FBgn0031940,Cuticle_4
FBgn0014454,Cuticle_4
FBgn0031939,SNF
FBgn0031937,SNF
FBgn0031936,SNF
FBgn0031935,SNF
FBgn0053296,SNF
FBgn0041182,TED_complement/A2M_recep/A2M/A2M_BRD/MG3/MG2
FBgn0031929,Peptidase_M14/Propep_M14
FBgn0031968,DUF2181
FBgn0031981,Kelch_4/Kelch_5/Kelch_3/Kelch_6/Kelch_1/CUB/Kelch_2/EGF_CA/Laminin_EGF/EGF_3/PSI/EGF_2
FBgn0031976,Lipase/Abhydrolase_6/Lipase_2
FBgn0031973,Serpin
FBgn0031970,CD36
FBgn0031969,CD36
FBgn0053121,Serpin
FBgn0051902,Serpin
FBgn0031959,Spaetzle
FBgn0031957,DUF243
FBgn0031996,Glyco_hydro_18
FBgn0032013,Sarcoglycan_2
FBgn0032018,ABC_membrane/ABC_tran/AAA_21/AAA_23/AAA_29
FBgn0032022,QVR
FBgn0032026,ABC_membrane/ABC_tran/MMR_HSR1/AAA_29/AAA_21/AAA_23/RsgA_GTPase/DUF87/AAA_16/AAA_22/Dynamin_N/MnmE_helical/DUF815/KAP_NTPase/AAA_7
FBgn0032021,QVR
FBgn0003502,PK_Tyr_Ser-Thr/Pkinase/SH2/SH3_1/SH3_9
FBgn0032010,SHIPPO-rpt
FBgn0028987,Serpin
FBgn0032006,PK_Tyr_Ser-Thr/I-set/Ig_3/Pkinase/ig/Ig_2/V-set/Adeno_E3_CR1/C2-set_2/Ig_6
FBgn0031998,SSF
FBgn0032029,Lipase/Abhydrolase_6/Abhydrolase_1
FBgn0032036,Aa_trans
FBgn0053194,DUF1091
FBgn0016122,Peptidase_M2
FBgn0011259,Sema/PSI
FBgn0032049,Asp/TAXi_N
FBgn0032042,IRS
FBgn0014417,NAGLU/NAGLU_C/NAGLU_N
FBgn0040959,CBM_14
FBgn0040958,CBM_14
FBgn0040098,Lectin_C/Apolipoprotein
FBgn0015583,Lectin_C
FBgn0001114,COesterase/BD-FAE/Abhydrolase_3
FBgn0032069,Glyco_hydro_38N/Glyco_hydro_38C/Alpha-mann_mid/Glyco_hydro38C2
FBgn0032068,Glyco_hydro_38N/Glyco_hydro_38C/Alpha-mann_mid
FBgn0032067,Glyco_hydro_38N/Glyco_hydro_38C/Alpha-mann_mid
FBgn0032066,Glyco_hydro_38N/Glyco_hydro_38C/Alpha-mann_mid/Glyco_hydro38C2
FBgn0003209,Nuc_deoxyri_tr2
FBgn0032058,COesterase/Abhydrolase_3/BD-FAE
FBgn0032057,COesterase/BD-FAE
FBgn0032074,Tetraspanin
FBgn0032075,Tetraspanin
FBgn0015316,Trypsin/Trypsin_2
FBgn0032094,DUF4818
FBgn0032095,TIR_2/LRR_4/LRR_8/TIR/LRR_1/LRR_6/LRRNT
FBgn0051609,Kunitz_BPTI
FBgn0032096,7tm_6
FBgn0052982,PH_20/PH
FBgn0051708,Ig_3/I-set/ig/Ig_2/V-set/Adeno_E3_CR1/Ig_C17orf99/Ig_6
FBgn0032080,DUF229
FBgn0026439,SDF
FBgn0032116,Cu-oxidase_3/Cu-oxidase_2/Cu-oxidase
FBgn0002973,PID/NumbF/PID_2
FBgn0032123,OATP/MFS_1/Kazal_2
FBgn0032125,Chitin_bind_4
FBgn0032127,DUF4744
FBgn0032131,COesterase/BD-FAE/Abhydrolase_3
FBgn0032136,Vit_open_b-sht/Vitellogenin_N/DUF1081/VWD/C8
FBgn0000273,Pkinase/PK_Tyr_Ser-Thr/Kinase-like
FBgn0032129,MORN
FBgn0032143,Peptidase_M14/Propep_M14
FBgn0032144,Peptidase_M14/Propep_M14
FBgn0032172,Solute_trans_a
FBgn0028704,Na_Ca_ex
FBgn0000180,MIP
FBgn0027600,CBM_14
FBgn0053302,Chitin_bind_4
FBgn0032187,Pkinase/cNMP_binding/PK_Tyr_Ser-Thr
FBgn0024320,Patched/NPC1_N/Sterol-sensing
FBgn0032192,Melibiase_2/Melibiase_2_C/Melibiase_C/Melibiase
FBgn0010407,PK_Tyr_Ser-Thr/Pkinase/Kringle/Fz
FBgn0032233,Ig_3/Ig_2/ig/I-set/V-set
FBgn0032235,LRR_8/LRR_4/LRR_1/LRR_5/LRR_9
FBgn0051718,Lig_chan
FBgn0032252,TSP1_ADAMTS/ADAMTS_spacer1/TSP_1/PLAC/TSP1_spondin
FBgn0027611,Glyco_hydro_38N/Glyco_hydro_38C/Alpha-mann_mid/Glyco_hydro38C2
FBgn0032253,Glyco_hydro_38N/Glyco_hydro_38C/Alpha-mann_mid
FBgn0032228,Peptidase_C1/Inhibitor_I29
FBgn0032221,SCHIP-1
FBgn0032213,Trypsin/CLIP_1
FBgn0032211,IMCp
FBgn0003751,Noggin
FBgn0024248,IRS
FBgn0032264,Abhydrolase_1/Abhydro_lipase/Hydrolase_4
FBgn0032265,Abhydrolase_1/Abhydro_lipase/Hydrolase_4
FBgn0032266,Abhydrolase_1/Abhydro_lipase
FBgn0051872,Abhydro_lipase/Abhydrolase_1
FBgn0043825,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0051871,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0032289,Lipase/Abhydrolase_6
FBgn0027550,MANEC/Ldl_recept_a/PAN_4
FBgn0032294,ATP-synt_C
FBgn0024740,Abhydro_lipase/Abhydrolase_1/Abhydrolase_6/Hydrolase_4
FBgn0023496,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0032271,Abhydrolase_1/Abhydro_lipase/Hydrolase_4
FBgn0032262,DUF389
FBgn0032303,Asp/TAXi_N/TAXi_C
FBgn0032304,Asp/TAXi_N
FBgn0040096,Lectin_C
FBgn0032314,Na_sulph_symp/CitMHS
FBgn0051869,VWC
FBgn0032298,WD40/NLE/NBCH_WD40/ANAPC4_WD40
FBgn0041246,7tm_7/Trehalose_recp
FBgn0032358,Palm_thioest/DUF676/Lipase_2/Abhydrolase_1/PGAP1/Abhydrolase_6
FBgn0014076,Vitelline_membr
FBgn0010197,Guanylate_cyc/PK_Tyr_Ser-Thr/ANF_receptor/Pkinase/HNOBA
FBgn0032343,Glyco_hydro_39
FBgn0032341,EF-hand_4/EF-hand_1
FBgn0032362,Spaetzle
FBgn0051706,DUF4813
FBgn0028490,DUF4813
FBgn0032363,PDZ/PDZ_6/PDZ_2/Guanylate_kin/Peptidase_M50
FBgn0015400,LRR_8/Ig_3/LRR_4/LRR_5/I-set/ig/Ig_2
FBgn0032373,V_ATPase_I
FBgn0032378,Cyclin_N/Cyclin
FBgn0032376,Tetraspanin
FBgn0032368,Sad1_UNC
FBgn0051704,Kazal_1/Kazal_2
FBgn0040968,Kazal_1/Kazal_2
FBgn0032381,Alpha-amylase
FBgn0032382,Alpha-amylase
FBgn0026392,7tm_6
FBgn0026391,7tm_6
FBgn0026390,7tm_6
FBgn0005664,Chitin_bind_4
FBgn0032387,Glyco_hydro_65m
FBgn0014019,7tm_1/7TM_GPCR_Srsx
FBgn0010497,MFS_1/Sugar_tr
FBgn0042126,MFS_1/Sugar_tr
FBgn0032402,PI-PLC-X
FBgn0032400,Phospho_p8
FBgn0032398,PRKCSH/PRKCSH_1
FBgn0032409,ELMO_ARM/ELMO_CED12/PH_12
FBgn0032414,VWC
FBgn0032416,7tm_7
FBgn0051760,7tm_3
FBgn0051860,Cation_efflux
FBgn0032421,QVR
FBgn0032422,QVR/DUF753
FBgn0032420,QVR
FBgn0041195,PKD_channel/Polycystin_dom/Ion_trans
FBgn0032435,OATP/MFS_1/Kazal_2
FBgn0032433,OATP/MFS_1
FBgn0032451,Mg_trans_NIPA/EamA
FBgn0015399,LRR_8/LRR_4/LRR_1/I-set/Ig_3/LRR_5/Ig_2/ig
FBgn0032457,Glyco_transf_49
FBgn0032449,Folate_carrier/MFS_1
FBgn0032442,Peptidase_M13/Peptidase_M13_N
FBgn0040509,Guanylate_cyc/AC_N
FBgn0040510,Guanylate_cyc/AC_N/TM140
FBgn0040506,Guanylate_cyc/AC_N
FBgn0032462,DUF4779
FBgn0027586,JHBP
FBgn0032494,JHBP
FBgn0032495,JHBP
FBgn0051729,PhoLip_ATPase_C/PhoLip_ATPase_N/E1-E2_ATPase/Hydrolase/Cation_ATPase
FBgn0032505,PFam54_60/Baculo_PEP_C/Perilipin
FBgn0032507,Trypsin
FBgn0032484,LRR_8/Ig_3/ig/I-set/V-set/Ig_2/LRR_9
FBgn0032479,LRR_8/LRR_4/LRR_1/LRR_5/I-set/Ig_3/Ig_2/V-set/ig
FBgn0026760,LRR_8/TIR_2/TIR/LRR_5/LRR_4/LRR_1
FBgn0028513,MFS_1/Sugar_tr
FBgn0023407,CABIT
FBgn0003983,Vitelline_membr
FBgn0028541,EMP70
FBgn0028539,ABC_tran/AAA_21/ABC2_membrane_3/AAA_16/AAA_30/AAA_23/AAA_22
FBgn0001965,RasGEF/RasGEF_N/RhoGEF/PH
FBgn0028534,JHBP
FBgn0028533,JHBP
FBgn0028532,JHBP
FBgn0012037,Peptidase_M2/Peptidase_M32
FBgn0032535,Peptidase_M2
FBgn0028920,JHBP
FBgn0053306,JHBP
FBgn0051814,Ig_3/I-set/ig/Ig_2/V-set
FBgn0027929,EGF_2
FBgn0028936,cEGF/hEGF
FBgn0028939,C_tripleX
FBgn0028875,Neur_chan_LBD/Neur_chan_memb
FBgn0028872,LRR_8/LRR_4/LRR_5/LRR_1/LRR_9
FBgn0001967,MSC
FBgn0003255,LRR_8/LRR_4/7tm_1/LRR_5/LRR_9/LRR_1
FBgn0028542,cEGF
FBgn0028543,C_tripleX/cEGF
FBgn0028531,zf-Di19/ZZ
FBgn0028871,Chitin_bind_4
FBgn0020258,ASC
FBgn0051835,zf-Di19/ZZ
FBgn0028886,SNF
FBgn0028866,Trypsin
FBgn0032549,Trypsin
FBgn0260446,ANF_receptor/7tm_3/Peripla_BP_6
FBgn0053310,Na_K-ATPase
FBgn0041713,MRJP
FBgn0028879,Anoctamin
FBgn0028516,Cation_efflux
FBgn0028888,LRR_8/LRR_4/LRR_1/LRR_5/LRR_9/LRR_6
FBgn0000317,Myosin_head/MyTH4/FERM_M/IQ/SH3_9/FERM_N
FBgn0051832,Fibrinogen_C
FBgn0028370,LRR_8/I-set/Ig_3/LRR_4/Ig_2/ig/V-set/LRR_5
FBgn0028947,Astacin
FBgn0028945,Astacin
FBgn0028518,LRR_8/LRR_4/LRR_5/LRR_1/Shisa
FBgn0051780,Trypsin
FBgn0051827,Trypsin
FBgn0001987,COesterase/BD-FAE/Abhydrolase_3
FBgn0028863,VGCC_alpha2/VWA_N/dCache_1/VWA/VWA_3/VWA_2
FBgn0028948,Astacin
FBgn0028949,Astacin
FBgn0028944,Astacin
FBgn0028950,Astacin
FBgn0028514,Trypsin
FBgn0028644,Ig_2/Ig_3/C2-set_2/ig
FBgn0013433,Ig_2/ig/Ig_3/V-set/C2-set_2
FBgn0028645,Ig_2/Ig_3/C2-set_2/ig
FBgn0051821,Peptidase_S10
FBgn0051823,Peptidase_S10
FBgn0041183,TED_complement/A2M/A2M_recep/A2M_BRD/MG2/MG3/MG1
FBgn0028935,Peptidase_M1/Peptidase_M1_N/ERAP1_C
FBgn0040079,RGS
FBgn0000339,Cornichon
FBgn0024734,DSPc/Y_phosphatase
FBgn0020416,Glyco_hydro_18
FBgn0020415,Glyco_hydro_18
FBgn0020414,Glyco_hydro_18
FBgn0032585,Peptidase_M13_N/Peptidase_M13
FBgn0028523,LRR_8/LRR_5/LRR_4
FBgn0032598,CBM_14/Ldl_recept_a/Polysacc_deac_1
FBgn0032601,MRJP
FBgn0032613,Peptidase_M13_N
FBgn0032612,Lipase
FBgn0032602,ASC
FBgn0032593,TRP_2/Ion_trans/Ank_2/PKD_channel/Ank/Ank_3/Ank_5/Ank_4
FBgn0032618,Sulfotransfer_2
FBgn0053179,Ig_2/Ig_3/V-set/C2-set_2/ig
FBgn0032625,PAM2
FBgn0032633,LRR_4/LRR_8/LRR_1/CH
FBgn0032629,Ig_3/Ig_2/I-set/ig/V-set/C2-set_2
FBgn0032644,Peptidase_M76
FBgn0032639,Trypsin
FBgn0032638,Trypsin
FBgn0000120,Arrestin_N/Arrestin_C
FBgn0002939,CD36
FBgn0051741,CD36
FBgn0032664,Mito_carr
FBgn0041184,SH2/SOCS_box
FBgn0000636,C2-set_2/Ig_3/I-set/Ig_2
FBgn0032685,An_peroxidase
FBgn0051789,MBF2
FBgn0032689,AA_permease/SLC12
FBgn0032683,Cadherin_3/Laminin_G_2/Laminin_G_1
FBgn0032681,CCDC50_N
FBgn0053120,WS_DGAT_C/WES_acyltransf
FBgn0032706,IRK_C/IRK
FBgn0032732,MMgT
FBgn0032734,DUF753
FBgn0051792,ABC_membrane/ABC_tran/MMR_HSR1/AAA_21/AAA_29/AAA_23/RsgA_GTPase/Dynamin_N/AAA_16/AAA_22/DUF87/MnmE_helical/AAA_7
FBgn0051793,ABC_membrane/ABC_tran/AAA_21/MMR_HSR1/AAA_29/AAA_16/AAA_22/AAA_23/Dynamin_N/RsgA_GTPase/MnmE_helical/DUF815/AAA_7
FBgn0032749,LRR_8/LRR_4/LRR_1/LRR_6/PP2C
FBgn0032753,Trypsin
FBgn0032752,Recep_L_domain/Furin-like/fn3
FBgn0046302,DUF753
FBgn0032733,DUF753
FBgn0032731,EF-hand_1/EF-hand_7/EF-hand_6/EF-hand_5/EF-hand_8/SPARC_Ca_bdg
FBgn0015380,PK_Tyr_Ser-Thr/WIF/Pkinase/Kinase-like
FBgn0016675,Lectin_C
FBgn0024245,PK_Tyr_Ser-Thr/WIF/Pkinase
